"	  1",4149828432,3770,3.66,32.94,0.69,  2020-03-20 08:35:27   ,  2020-03-20 08:35:27   
"	  2",5384909093,3770,3.21,32.1,0.75,  2020-03-20 08:35:28,  2020-03-20 08:36:44   
"	  3",5384909148,3770,3.66,36.6,0.56,  2020-03-20 08:35:29,  2020-03-20 08:36:44   
"	  4",5384909238,3770,3.21,32.1,0.75,  2020-03-20 08:35:30,  2020-03-20 08:36:44   
"	  5",5384909243,3770,6.37,63.7,0.59,  2020-03-20 08:35:31,  2020-03-20 08:36:44   
"	  6",5384909309,3770,3.57,35.7,0.55,  2020-03-20 08:35:32,  2020-03-20 08:36:44   
"	  7",5384909310,3770,3.66,36.6,0.56,  2020-03-20 08:35:33,  2020-03-20 08:36:44   
"	  8",5384909526,3770,3.21,32.1,0.75,  2020-03-20 08:35:34,  2020-03-20 08:36:44   
"	  9",7874231465,3770,3.73,134.28,0.64,  2020-03-20 08:35:35,  2020-03-20 08:36:44   
"	  10",8907654251,3770,4.12,82.4,0.64,  2020-03-20 08:35:36,  2020-04-05 12:42:29   
"	  11",5384909147,3710,3.57,35.72,0.64,  2020-03-20 08:35:37,  2020-03-23 12:55:37   
"	  12",5384909149,3710,4.12,41.22,0.59,  2020-03-23 13:16:37 ,  2020-03-23 13:16:37   
"	  13",5384909180,3710,3.44,123.66,0.67,  2020-03-23 13:18:09 ,  2020-03-23 13:18:09   
"	  14",5384909183,3710,7.69,46.17,1.62,  2020-03-23 13:21:12 ,  2020-03-23 13:21:12   
"	  15",5384909197,3710,4.9,49.01,0.55,  2020-03-23 13:26:36 ,  2020-03-23 13:26:36   
"	  16",5384909213,3710,6.96,69.62,0.6,  2020-03-23 13:38:37 ,  2020-03-23 13:38:37   
"	  17",5384909216,3710,6.96,69.62,0.6,  2020-03-23 13:40:05 ,  2020-03-23 13:40:05   
"	  18",5384909238,3710,3.21,32.06,0.55,  2020-03-23 13:43:33 ,  2020-03-23 13:43:33   
"	  19",5384909310,3710,3.66,36.64,0.61,  2020-03-23 13:45:25 ,  2020-03-23 13:45:25   
"	  20",5384909311,3710,4.12,41.22,0.59,  2020-03-23 13:54:12 ,  2020-03-23 13:54:12   
"	  21",5384909407,3710,4.12,123.66,0.43,  2020-03-23 13:55:38 ,  2020-03-23 13:55:38   
"	  22",5384909415,3710,6.96,69.62,0.65,  2020-03-23 14:07:44 ,  2020-03-23 14:07:44   
"	  23",5384909420,3710,6.96,69.62,0.57,  2020-03-23 14:16:47 ,  2020-03-23 14:16:47   
"	  24",5384909422,3710,4.12,41.22,0.59,  2020-03-23 14:20:39 ,  2020-03-23 14:20:39   
"	  25",5384909438,3710,3.66,54.96,0.67,  2020-03-23 14:21:55 ,  2020-03-23 14:21:55   
"	  26",5384909462,3710,7.69,346.25,1.94,  2020-03-23 14:25:49 ,  2020-03-23 14:25:49   
"	  27",5384909468,3710,6.96,153.16,0.58,  2020-03-23 14:34:58 ,  2020-03-23 14:34:58   
"	  28",5384909484,3710,6.87,151.14,0.58,  2020-03-23 14:37:10 ,  2020-03-23 14:37:10   
"	  29",5384909503,3710,7.69,500.14,1.19,  2020-03-25 05:01:24 ,  2020-03-25 05:01:24   
"	  30",5384909507,3710,4.12,123.66,0.43,  2020-03-25 05:04:04 ,  2020-03-25 05:04:04   
"	  31",5384909510,3710,4.95,49.46,0.81,  2020-03-25 05:05:09 ,  2020-03-25 05:05:09   
"	  32",5384909511,3710,4.4,43.97,0.79,  2020-03-25 05:06:40 ,  2020-03-25 05:06:40   ;
"	  33",107279,3770,3.44,32.94,0.64,  2020-06-29 13:05:14 ,  2020-08-03 12:11:55 
